image_path,mask_path
Weed\dataset\images\train\agri_0_6013.jpeg,Final\weed\data\agri_0_6013_mask.png
Weed\dataset\images\train\agri_0_7613.jpeg,Final\weed\data\agri_0_7613_mask.png
Weed\dataset\images\train\agri_0_7209.jpeg,Final\weed\data\agri_0_7209_mask.png
Weed\dataset\images\train\agri_0_9873.jpeg,Final\weed\data\agri_0_9873_mask.png
Weed\dataset\images\val\agri_0_9143.jpeg,Final\weed\data\agri_0_9143_mask.png
Weed\dataset\images\train\agri_0_9145.jpeg,Final\weed\data\agri_0_9145_mask.png
Weed\dataset\images\train\agri_0_3276.jpeg,Final\weed\data\agri_0_3276_mask.png
Weed\dataset\images\train\agri_0_8440.jpeg,Final\weed\data\agri_0_8440_mask.png
Weed\dataset\images\test\agri_0_3869.jpeg,Final\weed\data\agri_0_3869_mask.png
Weed\dataset\images\val\agri_0_2786.jpeg,Final\weed\data\agri_0_2786_mask.png
Weed\dataset\images\train\agri_0_7668.jpeg,Final\weed\data\agri_0_7668_mask.png
Weed\dataset\images\val\agri_0_6820.jpeg,Final\weed\data\agri_0_6820_mask.png
Weed\dataset\images\train\agri_0_3283.jpeg,Final\weed\data\agri_0_3283_mask.png
Weed\dataset\images\train\agri_0_7340.jpeg,Final\weed\data\agri_0_7340_mask.png
Weed\dataset\images\val\agri_0_838.jpeg,Final\weed\data\agri_0_838_mask.png
Weed\dataset\images\val\agri_0_2901.jpeg,Final\weed\data\agri_0_2901_mask.png
Weed\dataset\images\train\agri_0_7222.jpeg,Final\weed\data\agri_0_7222_mask.png
Weed\dataset\images\train\agri_0_9152.jpeg,Final\weed\data\agri_0_9152_mask.png
Weed\dataset\images\val\agri_0_1518.jpeg,Final\weed\data\agri_0_1518_mask.png
Weed\dataset\images\train\agri_0_1750.jpeg,Final\weed\data\agri_0_1750_mask.png
Weed\dataset\images\val\agri_0_8422.jpeg,Final\weed\data\agri_0_8422_mask.png
Weed\dataset\images\train\agri_0_1193.jpeg,Final\weed\data\agri_0_1193_mask.png
Weed\dataset\images\train\agri_0_7322.jpeg,Final\weed\data\agri_0_7322_mask.png
Weed\dataset\images\train\agri_0_4216.jpeg,Final\weed\data\agri_0_4216_mask.png
Weed\dataset\images\train\agri_0_4209.jpeg,Final\weed\data\agri_0_4209_mask.png
Weed\dataset\images\train\agri_0_780.jpeg,Final\weed\data\agri_0_780_mask.png
Weed\dataset\images\train\agri_0_9563.jpeg,Final\weed\data\agri_0_9563_mask.png
Weed\dataset\images\train\agri_0_6565.jpeg,Final\weed\data\agri_0_6565_mask.png
Weed\dataset\images\train\agri_0_1572.jpeg,Final\weed\data\agri_0_1572_mask.png
Weed\dataset\images\val\agri_0_164.jpeg,Final\weed\data\agri_0_164_mask.png
Weed\dataset\images\val\agri_0_9000.jpeg,Final\weed\data\agri_0_9000_mask.png
Weed\dataset\images\val\agri_0_1627.jpeg,Final\weed\data\agri_0_1627_mask.png
Weed\dataset\images\train\agri_0_4273.jpeg,Final\weed\data\agri_0_4273_mask.png
Weed\dataset\images\val\agri_0_8493.jpeg,Final\weed\data\agri_0_8493_mask.png
Weed\dataset\images\train\agri_0_7091.jpeg,Final\weed\data\agri_0_7091_mask.png
Weed\dataset\images\train\agri_0_4118.jpeg,Final\weed\data\agri_0_4118_mask.png
Weed\dataset\images\train\agri_0_8072.jpeg,Final\weed\data\agri_0_8072_mask.png
Weed\dataset\images\train\agri_0_8252.jpeg,Final\weed\data\agri_0_8252_mask.png
Weed\dataset\images\train\agri_0_3983.jpeg,Final\weed\data\agri_0_3983_mask.png
Weed\dataset\images\train\agri_0_8866.jpeg,Final\weed\data\agri_0_8866_mask.png
Weed\dataset\images\train\agri_0_5992.jpeg,Final\weed\data\agri_0_5992_mask.png
Weed\dataset\images\train\agri_0_6279.jpeg,Final\weed\data\agri_0_6279_mask.png
Weed\dataset\images\train\agri_0_1815.jpeg,Final\weed\data\agri_0_1815_mask.png
Weed\dataset\images\train\agri_0_551.jpeg,Final\weed\data\agri_0_551_mask.png
Weed\dataset\images\train\agri_0_5967.jpeg,Final\weed\data\agri_0_5967_mask.png
Weed\dataset\images\train\agri_0_1463.jpeg,Final\weed\data\agri_0_1463_mask.png
Weed\dataset\images\train\agri_0_3143.jpeg,Final\weed\data\agri_0_3143_mask.png
Weed\dataset\images\val\agri_0_6387.jpeg,Final\weed\data\agri_0_6387_mask.png
Weed\dataset\images\train\agri_0_2808.jpeg,Final\weed\data\agri_0_2808_mask.png
Weed\dataset\images\train\agri_0_270.jpeg,Final\weed\data\agri_0_270_mask.png
Weed\dataset\images\train\agri_0_2095.jpeg,Final\weed\data\agri_0_2095_mask.png
Weed\dataset\images\train\agri_0_9376.jpeg,Final\weed\data\agri_0_9376_mask.png
Weed\dataset\images\train\agri_0_376.jpeg,Final\weed\data\agri_0_376_mask.png
Weed\dataset\images\val\agri_0_1885.jpeg,Final\weed\data\agri_0_1885_mask.png
Weed\dataset\images\train\agri_0_7623.jpeg,Final\weed\data\agri_0_7623_mask.png
Weed\dataset\images\val\agri_0_2906.jpeg,Final\weed\data\agri_0_2906_mask.png
Weed\dataset\images\train\agri_0_9608.jpeg,Final\weed\data\agri_0_9608_mask.png
Weed\dataset\images\val\agri_0_106.jpeg,Final\weed\data\agri_0_106_mask.png
Weed\dataset\images\train\agri_0_4218.jpeg,Final\weed\data\agri_0_4218_mask.png
Weed\dataset\images\train\agri_0_2964.jpeg,Final\weed\data\agri_0_2964_mask.png
Weed\dataset\images\val\agri_0_5231.jpeg,Final\weed\data\agri_0_5231_mask.png
Weed\dataset\images\train\agri_0_3880.jpeg,Final\weed\data\agri_0_3880_mask.png
Weed\dataset\images\train\agri_0_6097.jpeg,Final\weed\data\agri_0_6097_mask.png
Weed\dataset\images\train\agri_0_8269.jpeg,Final\weed\data\agri_0_8269_mask.png
Weed\dataset\images\train\agri_0_4951.jpeg,Final\weed\data\agri_0_4951_mask.png
Weed\dataset\images\train\agri_0_4301.jpeg,Final\weed\data\agri_0_4301_mask.png
Weed\dataset\images\val\agri_0_9260.jpeg,Final\weed\data\agri_0_9260_mask.png
Weed\dataset\images\train\agri_0_2088.jpeg,Final\weed\data\agri_0_2088_mask.png
Weed\dataset\images\train\agri_0_4557.jpeg,Final\weed\data\agri_0_4557_mask.png
Weed\dataset\images\train\agri_0_9272.jpeg,Final\weed\data\agri_0_9272_mask.png
Weed\dataset\images\val\agri_0_4845.jpeg,Final\weed\data\agri_0_4845_mask.png
Weed\dataset\images\train\agri_0_2393.jpeg,Final\weed\data\agri_0_2393_mask.png
Weed\dataset\images\train\agri_0_9617.jpeg,Final\weed\data\agri_0_9617_mask.png
Weed\dataset\images\train\agri_0_6703.jpeg,Final\weed\data\agri_0_6703_mask.png
Weed\dataset\images\train\agri_0_5808.jpeg,Final\weed\data\agri_0_5808_mask.png
Weed\dataset\images\train\agri_0_9916.jpeg,Final\weed\data\agri_0_9916_mask.png
Weed\dataset\images\val\agri_0_1041.jpeg,Final\weed\data\agri_0_1041_mask.png
Weed\dataset\images\train\agri_0_5632.jpeg,Final\weed\data\agri_0_5632_mask.png
Weed\dataset\images\train\agri_0_8183.jpeg,Final\weed\data\agri_0_8183_mask.png
Weed\dataset\images\val\agri_0_3669.jpeg,Final\weed\data\agri_0_3669_mask.png
Weed\dataset\images\train\agri_0_3473.jpeg,Final\weed\data\agri_0_3473_mask.png
Weed\dataset\images\train\agri_0_7901.jpeg,Final\weed\data\agri_0_7901_mask.png
Weed\dataset\images\train\agri_0_7844.jpeg,Final\weed\data\agri_0_7844_mask.png
Weed\dataset\images\train\agri_0_2997.jpeg,Final\weed\data\agri_0_2997_mask.png
Weed\dataset\images\train\agri_0_8146.jpeg,Final\weed\data\agri_0_8146_mask.png
Weed\dataset\images\val\agri_0_3756.jpeg,Final\weed\data\agri_0_3756_mask.png
Weed\dataset\images\train\agri_0_7370.jpeg,Final\weed\data\agri_0_7370_mask.png
Weed\dataset\images\train\agri_0_8184.jpeg,Final\weed\data\agri_0_8184_mask.png
Weed\dataset\images\train\agri_0_9772.jpeg,Final\weed\data\agri_0_9772_mask.png
Weed\dataset\images\train\agri_0_4707.jpeg,Final\weed\data\agri_0_4707_mask.png
Weed\dataset\images\train\agri_0_9740.jpeg,Final\weed\data\agri_0_9740_mask.png
Weed\dataset\images\train\agri_0_8821.jpeg,Final\weed\data\agri_0_8821_mask.png
Weed\dataset\images\train\agri_0_7177.jpeg,Final\weed\data\agri_0_7177_mask.png
Weed\dataset\images\train\agri_0_9489.jpeg,Final\weed\data\agri_0_9489_mask.png
Weed\dataset\images\train\agri_0_4127.jpeg,Final\weed\data\agri_0_4127_mask.png
Weed\dataset\images\train\agri_0_4778.jpeg,Final\weed\data\agri_0_4778_mask.png
Weed\dataset\images\train\agri_0_8872.jpeg,Final\weed\data\agri_0_8872_mask.png
Weed\dataset\images\train\agri_0_2722.jpeg,Final\weed\data\agri_0_2722_mask.png
Weed\dataset\images\train\agri_0_2735.jpeg,Final\weed\data\agri_0_2735_mask.png
Weed\dataset\images\train\agri_0_8838.jpeg,Final\weed\data\agri_0_8838_mask.png
Weed\dataset\images\train\agri_0_2649.jpeg,Final\weed\data\agri_0_2649_mask.png
Weed\dataset\images\train\agri_0_1610.jpeg,Final\weed\data\agri_0_1610_mask.png
Weed\dataset\images\val\agri_0_2144.jpeg,Final\weed\data\agri_0_2144_mask.png
Weed\dataset\images\train\agri_0_9908.jpeg,Final\weed\data\agri_0_9908_mask.png
Weed\dataset\images\test\agri_0_7942.jpeg,Final\weed\data\agri_0_7942_mask.png
Weed\dataset\images\train\agri_0_975.jpeg,Final\weed\data\agri_0_975_mask.png
Weed\dataset\images\val\agri_0_1985.jpeg,Final\weed\data\agri_0_1985_mask.png
Weed\dataset\images\train\agri_0_7459.jpeg,Final\weed\data\agri_0_7459_mask.png
Weed\dataset\images\train\agri_0_3992.jpeg,Final\weed\data\agri_0_3992_mask.png
Weed\dataset\images\val\agri_0_6468.jpeg,Final\weed\data\agri_0_6468_mask.png
Weed\dataset\images\train\agri_0_4586.jpeg,Final\weed\data\agri_0_4586_mask.png
Weed\dataset\images\val\agri_0_8168.jpeg,Final\weed\data\agri_0_8168_mask.png
Weed\dataset\images\train\agri_0_4561.jpeg,Final\weed\data\agri_0_4561_mask.png
Weed\dataset\images\val\agri_0_6498.jpeg,Final\weed\data\agri_0_6498_mask.png
Weed\dataset\images\train\agri_0_3592.jpeg,Final\weed\data\agri_0_3592_mask.png
Weed\dataset\images\train\agri_0_3860.jpeg,Final\weed\data\agri_0_3860_mask.png
Weed\dataset\images\val\agri_0_1009.jpeg,Final\weed\data\agri_0_1009_mask.png
Weed\dataset\images\val\agri_0_3682.jpeg,Final\weed\data\agri_0_3682_mask.png
Weed\dataset\images\train\agri_0_9451.jpeg,Final\weed\data\agri_0_9451_mask.png
Weed\dataset\images\val\agri_0_4383.jpeg,Final\weed\data\agri_0_4383_mask.png
Weed\dataset\images\train\agri_0_8780.jpeg,Final\weed\data\agri_0_8780_mask.png
Weed\dataset\images\train\agri_0_7382.jpeg,Final\weed\data\agri_0_7382_mask.png
Weed\dataset\images\train\agri_0_7344.jpeg,Final\weed\data\agri_0_7344_mask.png
Weed\dataset\images\train\agri_0_7188.jpeg,Final\weed\data\agri_0_7188_mask.png
Weed\dataset\images\train\agri_0_607.jpeg,Final\weed\data\agri_0_607_mask.png
Weed\dataset\images\train\agri_0_2363.jpeg,Final\weed\data\agri_0_2363_mask.png
Weed\dataset\images\val\agri_0_4222.jpeg,Final\weed\data\agri_0_4222_mask.png
Weed\dataset\images\train\agri_0_1932.jpeg,Final\weed\data\agri_0_1932_mask.png
Weed\dataset\images\train\agri_0_6212.jpeg,Final\weed\data\agri_0_6212_mask.png
Weed\dataset\images\train\agri_0_4771.jpeg,Final\weed\data\agri_0_4771_mask.png
Weed\dataset\images\train\agri_0_172.jpeg,Final\weed\data\agri_0_172_mask.png
Weed\dataset\images\val\agri_0_9696.jpeg,Final\weed\data\agri_0_9696_mask.png
Weed\dataset\images\train\agri_0_2438.jpeg,Final\weed\data\agri_0_2438_mask.png
Weed\dataset\images\train\agri_0_6353.jpeg,Final\weed\data\agri_0_6353_mask.png
Weed\dataset\images\train\agri_0_4010.jpeg,Final\weed\data\agri_0_4010_mask.png
Weed\dataset\images\train\agri_0_2915.jpeg,Final\weed\data\agri_0_2915_mask.png
Weed\dataset\images\train\agri_0_1512.jpeg,Final\weed\data\agri_0_1512_mask.png
Weed\dataset\images\train\agri_0_1961.jpeg,Final\weed\data\agri_0_1961_mask.png
Weed\dataset\images\train\agri_0_326.jpeg,Final\weed\data\agri_0_326_mask.png
Weed\dataset\images\train\agri_0_8062.jpeg,Final\weed\data\agri_0_8062_mask.png
Weed\dataset\images\train\agri_0_3468.jpeg,Final\weed\data\agri_0_3468_mask.png
Weed\dataset\images\train\agri_0_9776.jpeg,Final\weed\data\agri_0_9776_mask.png
Weed\dataset\images\train\agri_0_7499.jpeg,Final\weed\data\agri_0_7499_mask.png
Weed\dataset\images\train\agri_0_4540.jpeg,Final\weed\data\agri_0_4540_mask.png
Weed\dataset\images\train\agri_0_641.jpeg,Final\weed\data\agri_0_641_mask.png
Weed\dataset\images\train\agri_0_372.jpeg,Final\weed\data\agri_0_372_mask.png
Weed\dataset\images\train\agri_0_452.jpeg,Final\weed\data\agri_0_452_mask.png
Weed\dataset\images\train\agri_0_935.jpeg,Final\weed\data\agri_0_935_mask.png
Weed\dataset\images\train\agri_0_3535.jpeg,Final\weed\data\agri_0_3535_mask.png
Weed\dataset\images\train\agri_0_402.jpeg,Final\weed\data\agri_0_402_mask.png
Weed\dataset\images\train\agri_0_2278.jpeg,Final\weed\data\agri_0_2278_mask.png
Weed\dataset\images\train\agri_0_1171.jpeg,Final\weed\data\agri_0_1171_mask.png
Weed\dataset\images\train\agri_0_466.jpeg,Final\weed\data\agri_0_466_mask.png
Weed\dataset\images\train\agri_0_2513.jpeg,Final\weed\data\agri_0_2513_mask.png
Weed\dataset\images\train\agri_0_915.jpeg,Final\weed\data\agri_0_915_mask.png
Weed\dataset\images\train\agri_0_8496.jpeg,Final\weed\data\agri_0_8496_mask.png
Weed\dataset\images\train\agri_0_2330.jpeg,Final\weed\data\agri_0_2330_mask.png
Weed\dataset\images\train\agri_0_7443.jpeg,Final\weed\data\agri_0_7443_mask.png
Weed\dataset\images\train\agri_0_5641.jpeg,Final\weed\data\agri_0_5641_mask.png
Weed\dataset\images\train\agri_0_237.jpeg,Final\weed\data\agri_0_237_mask.png
Weed\dataset\images\val\agri_0_4670.jpeg,Final\weed\data\agri_0_4670_mask.png
Weed\dataset\images\train\agri_0_9397.jpeg,Final\weed\data\agri_0_9397_mask.png
Weed\dataset\images\train\agri_0_8489.jpeg,Final\weed\data\agri_0_8489_mask.png
Weed\dataset\images\train\agri_0_4502.jpeg,Final\weed\data\agri_0_4502_mask.png
Weed\dataset\images\val\agri_0_1543.jpeg,Final\weed\data\agri_0_1543_mask.png
Weed\dataset\images\train\agri_0_8618.jpeg,Final\weed\data\agri_0_8618_mask.png
Weed\dataset\images\val\agri_0_5184.jpeg,Final\weed\data\agri_0_5184_mask.png
Weed\dataset\images\val\agri_0_567.jpeg,Final\weed\data\agri_0_567_mask.png
Weed\dataset\images\train\agri_0_2774.jpeg,Final\weed\data\agri_0_2774_mask.png
Weed\dataset\images\val\agri_0_6120.jpeg,Final\weed\data\agri_0_6120_mask.png
Weed\dataset\images\val\agri_0_2654.jpeg,Final\weed\data\agri_0_2654_mask.png
Weed\dataset\images\val\agri_0_2263.jpeg,Final\weed\data\agri_0_2263_mask.png
Weed\dataset\images\train\agri_0_1966.jpeg,Final\weed\data\agri_0_1966_mask.png
Weed\dataset\images\val\agri_0_7375.jpeg,Final\weed\data\agri_0_7375_mask.png
Weed\dataset\images\train\agri_0_9804.jpeg,Final\weed\data\agri_0_9804_mask.png
Weed\dataset\images\train\agri_0_8463.jpeg,Final\weed\data\agri_0_8463_mask.png
Weed\dataset\images\train\agri_0_2465.jpeg,Final\weed\data\agri_0_2465_mask.png
Weed\dataset\images\val\agri_0_1242.jpeg,Final\weed\data\agri_0_1242_mask.png
Weed\dataset\images\val\agri_0_5880.jpeg,Final\weed\data\agri_0_5880_mask.png
Weed\dataset\images\train\agri_0_1849.jpeg,Final\weed\data\agri_0_1849_mask.png
Weed\dataset\images\train\agri_0_8008.jpeg,Final\weed\data\agri_0_8008_mask.png
Weed\dataset\images\train\agri_0_5042.jpeg,Final\weed\data\agri_0_5042_mask.png
Weed\dataset\images\train\agri_0_6287.jpeg,Final\weed\data\agri_0_6287_mask.png
Weed\dataset\images\train\agri_0_8682.jpeg,Final\weed\data\agri_0_8682_mask.png
Weed\dataset\images\train\agri_0_9586.jpeg,Final\weed\data\agri_0_9586_mask.png
Weed\dataset\images\val\agri_0_4449.jpeg,Final\weed\data\agri_0_4449_mask.png
Weed\dataset\images\val\agri_0_4337.jpeg,Final\weed\data\agri_0_4337_mask.png
Weed\dataset\images\train\agri_0_1140.jpeg,Final\weed\data\agri_0_1140_mask.png
Weed\dataset\images\train\agri_0_6917.jpeg,Final\weed\data\agri_0_6917_mask.png
Weed\dataset\images\val\agri_0_6537.jpeg,Final\weed\data\agri_0_6537_mask.png
Weed\dataset\images\train\agri_0_9933.jpeg,Final\weed\data\agri_0_9933_mask.png
Weed\dataset\images\train\agri_0_8671.jpeg,Final\weed\data\agri_0_8671_mask.png
Weed\dataset\images\val\agri_0_3736.jpeg,Final\weed\data\agri_0_3736_mask.png
Weed\dataset\images\train\agri_0_7939.jpeg,Final\weed\data\agri_0_7939_mask.png
Weed\dataset\images\train\agri_0_8926.jpeg,Final\weed\data\agri_0_8926_mask.png
Weed\dataset\images\train\agri_0_3842.jpeg,Final\weed\data\agri_0_3842_mask.png
Weed\dataset\images\val\agri_0_614.jpeg,Final\weed\data\agri_0_614_mask.png
Weed\dataset\images\train\agri_0_6034.jpeg,Final\weed\data\agri_0_6034_mask.png
Weed\dataset\images\train\agri_0_4240.jpeg,Final\weed\data\agri_0_4240_mask.png
Weed\dataset\images\train\agri_0_3022.jpeg,Final\weed\data\agri_0_3022_mask.png
Weed\dataset\images\train\agri_0_7232.jpeg,Final\weed\data\agri_0_7232_mask.png
Weed\dataset\images\train\agri_0_277.jpeg,Final\weed\data\agri_0_277_mask.png
Weed\dataset\images\train\agri_0_4184.jpeg,Final\weed\data\agri_0_4184_mask.png
Weed\dataset\images\val\agri_0_3928.jpeg,Final\weed\data\agri_0_3928_mask.png
Weed\dataset\images\train\agri_0_7119.jpeg,Final\weed\data\agri_0_7119_mask.png
Weed\dataset\images\train\agri_0_2390.jpeg,Final\weed\data\agri_0_2390_mask.png
Weed\dataset\images\train\agri_0_1119.jpeg,Final\weed\data\agri_0_1119_mask.png
Weed\dataset\images\train\agri_0_8904.jpeg,Final\weed\data\agri_0_8904_mask.png
Weed\dataset\images\train\agri_0_6769.jpeg,Final\weed\data\agri_0_6769_mask.png
Weed\dataset\images\val\agri_0_7813.jpeg,Final\weed\data\agri_0_7813_mask.png
Weed\dataset\images\train\agri_0_7037.jpeg,Final\weed\data\agri_0_7037_mask.png
Weed\dataset\images\train\agri_0_5243.jpeg,Final\weed\data\agri_0_5243_mask.png
Weed\dataset\images\train\agri_0_1420.jpeg,Final\weed\data\agri_0_1420_mask.png
Weed\dataset\images\train\agri_0_3075.jpeg,Final\weed\data\agri_0_3075_mask.png
Weed\dataset\images\train\agri_0_941.jpeg,Final\weed\data\agri_0_941_mask.png
Weed\dataset\images\train\agri_0_3116.jpeg,Final\weed\data\agri_0_3116_mask.png
Weed\dataset\images\train\agri_0_7943.jpeg,Final\weed\data\agri_0_7943_mask.png
Weed\dataset\images\train\agri_0_5928.jpeg,Final\weed\data\agri_0_5928_mask.png
Weed\dataset\images\train\agri_0_3744.jpeg,Final\weed\data\agri_0_3744_mask.png
Weed\dataset\images\train\agri_0_9253.jpeg,Final\weed\data\agri_0_9253_mask.png
Weed\dataset\images\train\agri_0_1211.jpeg,Final\weed\data\agri_0_1211_mask.png
Weed\dataset\images\train\agri_0_6152.jpeg,Final\weed\data\agri_0_6152_mask.png
Weed\dataset\images\train\agri_0_7779.jpeg,Final\weed\data\agri_0_7779_mask.png
Weed\dataset\images\train\agri_0_8620.jpeg,Final\weed\data\agri_0_8620_mask.png
Weed\dataset\images\train\agri_0_9698.jpeg,Final\weed\data\agri_0_9698_mask.png
Weed\dataset\images\train\agri_0_7357.jpeg,Final\weed\data\agri_0_7357_mask.png
Weed\dataset\images\train\agri_0_4910.jpeg,Final\weed\data\agri_0_4910_mask.png
Weed\dataset\images\train\agri_0_9144.jpeg,Final\weed\data\agri_0_9144_mask.png
Weed\dataset\images\train\agri_0_5856.jpeg,Final\weed\data\agri_0_5856_mask.png
Weed\dataset\images\train\agri_0_6158.jpeg,Final\weed\data\agri_0_6158_mask.png
Weed\dataset\images\train\agri_0_2495.jpeg,Final\weed\data\agri_0_2495_mask.png
Weed\dataset\images\train\agri_0_4267.jpeg,Final\weed\data\agri_0_4267_mask.png
Weed\dataset\images\train\agri_0_3914.jpeg,Final\weed\data\agri_0_3914_mask.png
Weed\dataset\images\train\agri_0_5784.jpeg,Final\weed\data\agri_0_5784_mask.png
Weed\dataset\images\train\agri_0_6308.jpeg,Final\weed\data\agri_0_6308_mask.png
Weed\dataset\images\train\agri_0_9857.jpeg,Final\weed\data\agri_0_9857_mask.png
Weed\dataset\images\train\agri_0_6100.jpeg,Final\weed\data\agri_0_6100_mask.png
Weed\dataset\images\train\agri_0_4017.jpeg,Final\weed\data\agri_0_4017_mask.png
Weed\dataset\images\train\agri_0_3778.jpeg,Final\weed\data\agri_0_3778_mask.png
Weed\dataset\images\train\agri_0_4009.jpeg,Final\weed\data\agri_0_4009_mask.png
Weed\dataset\images\train\agri_0_156.jpeg,Final\weed\data\agri_0_156_mask.png
Weed\dataset\images\train\agri_0_9398.jpeg,Final\weed\data\agri_0_9398_mask.png
Weed\dataset\images\train\agri_0_8108.jpeg,Final\weed\data\agri_0_8108_mask.png
Weed\dataset\images\val\agri_0_4553.jpeg,Final\weed\data\agri_0_4553_mask.png
Weed\dataset\images\train\agri_0_7603.jpeg,Final\weed\data\agri_0_7603_mask.png
Weed\dataset\images\train\agri_0_5401.jpeg,Final\weed\data\agri_0_5401_mask.png
Weed\dataset\images\train\agri_0_1868.jpeg,Final\weed\data\agri_0_1868_mask.png
Weed\dataset\images\train\agri_0_4015.jpeg,Final\weed\data\agri_0_4015_mask.png
Weed\dataset\images\train\agri_0_5266.jpeg,Final\weed\data\agri_0_5266_mask.png
Weed\dataset\images\train\agri_0_5306.jpeg,Final\weed\data\agri_0_5306_mask.png
Weed\dataset\images\train\agri_0_787.jpeg,Final\weed\data\agri_0_787_mask.png
Weed\dataset\images\val\agri_0_1707.jpeg,Final\weed\data\agri_0_1707_mask.png
Weed\dataset\images\train\agri_0_7814.jpeg,Final\weed\data\agri_0_7814_mask.png
Weed\dataset\images\train\agri_0_9532.jpeg,Final\weed\data\agri_0_9532_mask.png
Weed\dataset\images\val\agri_0_6276.jpeg,Final\weed\data\agri_0_6276_mask.png
Weed\dataset\images\train\agri_0_4535.jpeg,Final\weed\data\agri_0_4535_mask.png
Weed\dataset\images\train\agri_0_8165.jpeg,Final\weed\data\agri_0_8165_mask.png
Weed\dataset\images\train\agri_0_8209.jpeg,Final\weed\data\agri_0_8209_mask.png
Weed\dataset\images\train\agri_0_8195.jpeg,Final\weed\data\agri_0_8195_mask.png
Weed\dataset\images\train\agri_0_1079.jpeg,Final\weed\data\agri_0_1079_mask.png
Weed\dataset\images\train\agri_0_3943.jpeg,Final\weed\data\agri_0_3943_mask.png
Weed\dataset\images\train\agri_0_7856.jpeg,Final\weed\data\agri_0_7856_mask.png
Weed\dataset\images\train\agri_0_4948.jpeg,Final\weed\data\agri_0_4948_mask.png
Weed\dataset\images\val\agri_0_1258.jpeg,Final\weed\data\agri_0_1258_mask.png
Weed\dataset\images\train\agri_0_2323.jpeg,Final\weed\data\agri_0_2323_mask.png
Weed\dataset\images\train\agri_0_4014.jpeg,Final\weed\data\agri_0_4014_mask.png
Weed\dataset\images\train\agri_0_5118.jpeg,Final\weed\data\agri_0_5118_mask.png
Weed\dataset\images\train\agri_0_3045.jpeg,Final\weed\data\agri_0_3045_mask.png
Weed\dataset\images\train\agri_0_7656.jpeg,Final\weed\data\agri_0_7656_mask.png
Weed\dataset\images\train\agri_0_4055.jpeg,Final\weed\data\agri_0_4055_mask.png
Weed\dataset\images\val\agri_0_5871.jpeg,Final\weed\data\agri_0_5871_mask.png
Weed\dataset\images\val\agri_0_4903.jpeg,Final\weed\data\agri_0_4903_mask.png
Weed\dataset\images\val\agri_0_9403.jpeg,Final\weed\data\agri_0_9403_mask.png
Weed\dataset\images\train\agri_0_5780.jpeg,Final\weed\data\agri_0_5780_mask.png
Weed\dataset\images\train\agri_0_5858.jpeg,Final\weed\data\agri_0_5858_mask.png
Weed\dataset\images\train\agri_0_8959.jpeg,Final\weed\data\agri_0_8959_mask.png
Weed\dataset\images\train\agri_0_980.jpeg,Final\weed\data\agri_0_980_mask.png
Weed\dataset\images\train\agri_0_224.jpeg,Final\weed\data\agri_0_224_mask.png
Weed\dataset\images\train\agri_0_8225.jpeg,Final\weed\data\agri_0_8225_mask.png
Weed\dataset\images\val\agri_0_299.jpeg,Final\weed\data\agri_0_299_mask.png
Weed\dataset\images\train\agri_0_7989.jpeg,Final\weed\data\agri_0_7989_mask.png
Weed\dataset\images\train\agri_0_352.jpeg,Final\weed\data\agri_0_352_mask.png
Weed\dataset\images\train\agri_0_8305.jpeg,Final\weed\data\agri_0_8305_mask.png
Weed\dataset\images\val\agri_0_1095.jpeg,Final\weed\data\agri_0_1095_mask.png
Weed\dataset\images\train\agri_0_4659.jpeg,Final\weed\data\agri_0_4659_mask.png
Weed\dataset\images\val\agri_0_3439.jpeg,Final\weed\data\agri_0_3439_mask.png
Weed\dataset\images\train\agri_0_6354.jpeg,Final\weed\data\agri_0_6354_mask.png
Weed\dataset\images\train\agri_0_5350.jpeg,Final\weed\data\agri_0_5350_mask.png
Weed\dataset\images\train\agri_0_8935.jpeg,Final\weed\data\agri_0_8935_mask.png
Weed\dataset\images\train\agri_0_8161.jpeg,Final\weed\data\agri_0_8161_mask.png
Weed\dataset\images\train\agri_0_9327.jpeg,Final\weed\data\agri_0_9327_mask.png
Weed\dataset\images\train\agri_0_2697.jpeg,Final\weed\data\agri_0_2697_mask.png
Weed\dataset\images\train\agri_0_2405.jpeg,Final\weed\data\agri_0_2405_mask.png
Weed\dataset\images\train\agri_0_7358.jpeg,Final\weed\data\agri_0_7358_mask.png
Weed\dataset\images\val\agri_0_1788.jpeg,Final\weed\data\agri_0_1788_mask.png
Weed\dataset\images\train\agri_0_6831.jpeg,Final\weed\data\agri_0_6831_mask.png
Weed\dataset\images\train\agri_0_629.jpeg,Final\weed\data\agri_0_629_mask.png
Weed\dataset\images\val\agri_0_4685.jpeg,Final\weed\data\agri_0_4685_mask.png
Weed\dataset\images\train\agri_0_631.jpeg,Final\weed\data\agri_0_631_mask.png
Weed\dataset\images\train\agri_0_1130.jpeg,Final\weed\data\agri_0_1130_mask.png
Weed\dataset\images\train\agri_0_3667.jpeg,Final\weed\data\agri_0_3667_mask.png
Weed\dataset\images\train\agri_0_6126.jpeg,Final\weed\data\agri_0_6126_mask.png
Weed\dataset\images\train\agri_0_8556.jpeg,Final\weed\data\agri_0_8556_mask.png
Weed\dataset\images\train\agri_0_9294.jpeg,Final\weed\data\agri_0_9294_mask.png
Weed\dataset\images\train\agri_0_5365.jpeg,Final\weed\data\agri_0_5365_mask.png
